block,flat_type,level_str,level_number,unit_id,stack,area_sqm,price,tag,available
95B,"3-Room (Income Ceiling $14,000)",#18,18,7051,534,69,400400,,False
95B,"3-Room (Income Ceiling $14,000)",#18,18,7069,536,69,400400,,True
95B,"3-Room (Income Ceiling $14,000)",#18,18,7087,538,69,404700,,False
95B,"3-Room (Income Ceiling $14,000)",#18,18,7105,540,69,404700,,False
95B,"3-Room (Income Ceiling $14,000)",#17,17,7050,534,69,398700,,True
95B,"3-Room (Income Ceiling $14,000)",#17,17,7068,536,69,398700,,True
95B,"3-Room (Income Ceiling $14,000)",#17,17,7086,538,69,403000,,False
95B,"3-Room (Income Ceiling $14,000)",#17,17,7104,540,69,403000,,True
95B,"3-Room (Income Ceiling $14,000)",#16,16,7049,534,69,397000,,True
95B,"3-Room (Income Ceiling $14,000)",#16,16,7067,536,69,397000,MGPS 3+4,False
95B,"3-Room (Income Ceiling $14,000)",#16,16,7085,538,69,401300,,False
95B,"3-Room (Income Ceiling $14,000)",#16,16,7103,540,69,401300,,False
95B,"3-Room (Income Ceiling $14,000)",#15,15,7048,534,69,395300,,False
95B,"3-Room (Income Ceiling $14,000)",#15,15,7066,536,69,395300,MGPS 3+4,False
95B,"3-Room (Income Ceiling $14,000)",#15,15,7084,538,69,399600,,False
95B,"3-Room (Income Ceiling $14,000)",#15,15,7102,540,69,399600,,False
95B,"3-Room (Income Ceiling $14,000)",#14,14,7047,534,69,393600,,True
95B,"3-Room (Income Ceiling $14,000)",#14,14,7065,536,69,393600,MGPS 3+4,False
95B,"3-Room (Income Ceiling $14,000)",#14,14,7083,538,69,397900,,False
95B,"3-Room (Income Ceiling $14,000)",#14,14,7101,540,69,397900,,True
95B,"3-Room (Income Ceiling $14,000)",#13,13,7046,534,69,391900,MGPS 3+4,True
95B,"3-Room (Income Ceiling $14,000)",#13,13,7064,536,69,391900,,True
95B,"3-Room (Income Ceiling $14,000)",#13,13,7082,538,69,396200,,False
95B,"3-Room (Income Ceiling $14,000)",#13,13,7100,540,69,396200,,True
95B,"3-Room (Income Ceiling $14,000)",#12,12,7045,534,69,390200,,True
95B,"3-Room (Income Ceiling $14,000)",#12,12,7063,536,69,390200,,True
95B,"3-Room (Income Ceiling $14,000)",#12,12,7081,538,69,394500,,False
95B,"3-Room (Income Ceiling $14,000)",#12,12,7099,540,69,394500,,False
95B,"3-Room (Income Ceiling $14,000)",#11,11,7044,534,69,388500,MGPS 3+4,False
95B,"3-Room (Income Ceiling $14,000)",#11,11,7062,536,69,388500,,True
95B,"3-Room (Income Ceiling $14,000)",#11,11,7080,538,69,392800,GRO,False
95B,"3-Room (Income Ceiling $14,000)",#11,11,7098,540,69,392800,,True
95B,"3-Room (Income Ceiling $14,000)",#10,10,7043,534,69,386800,MGPS 3+4,True
95B,"3-Room (Income Ceiling $14,000)",#10,10,7061,536,69,386800,,True
95B,"3-Room (Income Ceiling $14,000)",#10,10,7079,538,69,391100,MGPS 3+4,False
95B,"3-Room (Income Ceiling $14,000)",#10,10,7097,540,69,391100,,True
95B,"3-Room (Income Ceiling $14,000)",#09,9,7042,534,69,385100,MGPS 3+4,True
95B,"3-Room (Income Ceiling $14,000)",#09,9,7060,536,69,385100,,True
95B,"3-Room (Income Ceiling $14,000)",#09,9,7078,538,69,389400,,False
95B,"3-Room (Income Ceiling $14,000)",#09,9,7096,540,69,389400,,True
95B,"3-Room (Income Ceiling $14,000)",#08,8,7041,534,69,383400,,True
