block,floor,stack,size,price
97B,#12,604,93 sqm,"$598,800"
97B,#12,606,93 sqm,"$586,600"
97B,#12,608,93 sqm,"$586,600"
97B,#12,610,93 sqm,"$598,800"
97B,#12,612,93 sqm,"$598,800"
97B,#12,614,93 sqm,"$598,800"
97B,#12,616,93 sqm,"$598,800"
97B,#12,618,93 sqm,"$598,800"
97B,#12,620,93 sqm,"$598,800"
97B,#11,602,93 sqm,"$596,400"
97B,#11,604,93 sqm,"$596,400"
97B,#11,606,93 sqm,"$584,200"
97B,#11,608,93 sqm,"$584,200"
97B,#11,610,93 sqm,"$596,400"
97B,#11,612,93 sqm,"$596,400"
97B,#11,614,93 sqm,"$596,400"
97B,#11,616,93 sqm,"$596,400"
97B,#11,618,93 sqm,"$596,400"
97B,#11,620,93 sqm,"$596,400"
97B,#10,602,93 sqm,"$594,000"
97B,#10,604,93 sqm,"$594,000"
97B,#10,606,93 sqm,"$581,800"
97B,#10,608,93 sqm,"$581,800"
97B,#10,610,93 sqm,"$594,000"
97B,#10,612,93 sqm,"$594,000"
97B,#10,614,93 sqm,"$594,000"
97B,#10,616,93 sqm,"$594,000"
97B,#10,618,93 sqm,"$594,000"
97B,#10,620,93 sqm,"$594,000"
97B,#09,602,93 sqm,"$591,600"
97B,#09,604,93 sqm,"$591,600"
97B,#09,606,93 sqm,"$579,400"
97B,#09,608,93 sqm,"$579,400"
97B,#09,610,93 sqm,"$591,600"
97B,#09,612,93 sqm,"$591,600"
97B,#09,614,93 sqm,"$591,600"
97B,#09,616,93 sqm,"$591,600"
97B,#09,618,93 sqm,"$591,600"
97B,#09,620,93 sqm,"$591,600"
97B,#08,602,93 sqm,"$589,200"
97B,#08,604,93 sqm,"$589,200"
97B,#08,606,93 sqm,"$577,000"
97B,#08,608,93 sqm,"$577,000"
97B,#08,610,93 sqm,"$589,200"
97B,#08,612,93 sqm,"$589,200"
97B,#08,614,93 sqm,"$589,200"
97B,#08,616,93 sqm,"$589,200"
97B,#08,618,93 sqm,"$589,200"
97B,#08,620,93 sqm,"$589,200"
97B,#07,602,93 sqm,"$583,100"
97B,#07,604,93 sqm,"$583,100"
97B,#07,606,93 sqm,"$570,900"
97B,#07,608,93 sqm,"$570,900"
97B,#07,610,93 sqm,"$583,100"
97B,#07,612,93 sqm,"$583,100"
97B,#07,614,93 sqm,"$583,100"
97B,#07,616,93 sqm,"$583,100"
97B,#07,618,93 sqm,"$583,100"
97B,#07,620,93 sqm,"$583,100"
97B,#06,602,93 sqm,"$577,000"
97B,#06,604,93 sqm,"$577,000"
97B,#06,606,93 sqm,"$564,800"
97B,#06,608,93 sqm,"$564,800"
97B,#06,610,93 sqm,"$577,000"
97B,#06,612,93 sqm,"$577,000"
97B,#06,614,93 sqm,"$577,000"
97B,#06,616,93 sqm,"$577,000"
97B,#06,618,93 sqm,"$577,000"
97B,#06,620,93 sqm,"$577,000"
97B,#05,602,93 sqm,"$570,900"
97B,#05,604,93 sqm,"$570,900"
97B,#05,606,93 sqm,"$558,700"
97B,#05,608,93 sqm,"$558,700"
97B,#05,610,93 sqm,"$570,900"
97B,#05,612,93 sqm,"$570,900"
97B,#05,614,93 sqm,"$570,900"
97B,#05,616,93 sqm,"$570,900"
97B,#05,618,93 sqm,"$570,900"
97B,#05,620,93 sqm,"$570,900"
97B,#04,602,93 sqm,"$561,700"
97B,#04,604,93 sqm,"$561,700"
97B,#04,606,93 sqm,"$549,500"
97B,#04,608,93 sqm,"$549,500"
97B,#04,610,93 sqm,"$561,700"
97B,#04,612,93 sqm,"$561,700"
97B,#04,614,93 sqm,"$555,600"
97B,#04,616,93 sqm,"$549,500"
97B,#04,618,93 sqm,"$555,600"
97B,#04,620,93 sqm,"$561,700"
